l,P
795,17.88
795,18.08
795,17.96
795,17.99
795,18.12
795,18.18
795,18.18
795,18.03
795,18.08
795,18.02
439,13.32
439,12.9
439,13.65
439,13.45
439,13.64
439,12.96
439,12.97
439,13.44
439,12.89
439,12.52
306,10.73
306,10.99
306,10.95
306,10.17
306,10.92
306,10.99
306,10.44
306,10.47
306,10.65
306,10.93
575,16.28
575,15.54
575,15.62
575,15.23
575,15.53
575,15.56
575,15.62
575,15.41
575,15.4
575,15.24
235,9.39
235,9.05
235,9.71
235,9.06
235,9.66
235,9.61
235,9.71
235,9.27
235,9.26
235,9.23
575,16.28
575,15.54
575,15.62
575,15.23
575,15.53
575,15.56
575,15.62
575,15.41
575,15.4
575,15.24
100,6.68
100,6.9
100,6.48
100,6.05
100,6.47
100,6.13
100,6.57
100,6.24
100,6.87
100,6.63
